s,x,y,heading
7.64884573,2.78587622,2.59660579,2.36384433
7.66361184,2.77526622,2.60701391,2.36771758
7.67837796,2.76461703,2.61738221,2.37135889
7.69314407,2.75393163,2.62771224,2.37483141
7.70791018,2.74321083,2.63800440,2.37839509
7.72267629,2.73245211,2.64825738,2.38213564
7.73744240,2.72165461,2.65847068,2.38581592
7.75220851,2.71082047,2.66864550,2.38928010
7.76697462,2.69995252,2.67878343,2.39256644
7.78174074,2.68905187,2.68888510,2.39591012
7.79650685,2.67811639,2.69894930,2.39943132
7.81127296,2.66714490,2.70897530,2.40292538
7.82603907,2.65613916,2.71896416,2.40622058
7.84080518,2.64510184,2.72891753,2.40933362
7.85557129,2.63403424,2.73883619,2.41247156
7.87033740,2.62293468,2.74871910,2.41578217
7.88510352,2.61180171,2.75856533,2.41909645
7.89986963,2.60063673,2.76837579,2.42223034
7.91463574,2.58944223,2.77815211,2.42518166
7.92940185,2.57821965,2.78789523,2.42812787
7.94416796,2.56696773,2.79760432,2.43123710
7.95893407,2.55568485,2.80727827,2.43437773
7.97370018,2.54437207,2.81691782,2.43735757
7.98846630,2.53303167,2.82652455,2.44015747
8.00323241,2.52166519,2.83609955,2.44292551
8.01799852,2.51027175,2.84564219,2.44584296
8.03276463,2.49884967,2.85515126,2.44881575
8.04753074,2.48739966,2.86462728,2.45164839
8.06229685,2.47592379,2.87407179,2.45430605
8.07706296,2.46442367,2.88348597,2.45690887
8.09182908,2.45289875,2.89286944,2.45964437
8.10659519,2.44134735,2.90222089,2.46245490
8.12136130,2.42976989,2.91154065,2.46514679
8.13612741,2.41816822,2.92083017,2.46767039
8.15089352,2.40654393,2.93009073,2.47012020
8.16565963,2.39489683,2.93932214,2.47268362
8.18042575,2.38322527,2.94852309,2.47533738
8.19519186,2.37152939,2.95769369,2.47789457
8.20995797,2.35981083,2.96683531,2.48029143
8.22472408,2.34807118,2.97594925,2.48259956
8.23949019,2.33631049,2.98503557,2.48500073
8.25425630,2.32452722,2.99409296,2.48750316
8.26902241,2.31272128,3.00312134,2.48993125
8.28378853,2.30089409,3.01212195,2.49220796
8.29855464,2.28904720,3.02109613,2.49438481
8.31332075,2.27718088,3.03004413,2.49663336
8.32808686,2.26529375,3.03896473,2.49898991
8.34285297,2.25338549,3.04785763,2.50129411
8.35761908,2.24145732,3.05672394,2.50345658
8.37238519,2.22951072,3.06556503,2.50551153
8.38715131,2.21754615,3.07438131,2.50761676
8.40191742,2.20556240,3.08317167,2.50983289
8.41668353,2.19355898,3.09193563,2.51201798
8.43144964,2.18153691,3.10067417,2.51407154
8.44621575,2.16949760,3.10938864,2.51601294
8.46098186,2.15744163,3.11807961,2.51798374
8.47574797,2.14536800,3.12674611,2.52006487
8.49051409,2.13327606,3.13538749,2.52213519
8.50528020,2.12116666,3.14400458,2.52408465
8.52004631,2.10904112,3.15259872,2.52591975
8.53481242,2.09690012,3.16117059,2.52776446
8.54957853,2.08474287,3.16971941,2.52971596
8.56434464,2.07256860,3.17824437,2.53167537
8.57911075,2.06037798,3.18674615,2.53352504
8.59387687,2.04817224,3.19522606,2.53526004
8.60864298,2.03595215,3.20368488,2.53698639
8.62340909,2.02371710,3.21212201,2.53881344
8.63817520,2.01146625,3.22053652,2.54066534
8.65294131,1.99920011,3.22892896,2.54241904
8.66770742,1.98691982,3.23730057,2.54405912
8.68247353,1.97462617,3.24565222,2.54567410
8.69723965,1.96231878,3.25398349,2.54738163
8.71200576,1.94999675,3.26229339,2.54912887
8.72677187,1.93766042,3.27058228,2.55078998
8.74153798,1.92531084,3.27885136,2.55233936
8.75630409,1.91294885,3.28710158,2.55384920
8.77107020,1.90057422,3.29533269,2.55544162
8.78583631,1.88818607,3.30354364,2.55708633
8.80060243,1.87578456,3.31173466,2.55865773
8.81536854,1.86337066,3.31990686,2.56012021
8.83013465,1.85094522,3.32806125,2.56153090
8.84490076,1.83850817,3.33619775,2.56301233
8.85966687,1.82605866,3.34431532,2.56455585
8.87443298,1.81359670,3.35241401,2.56604005
8.88919909,1.80112315,3.36049485,2.56741992
8.90396521,1.78863887,3.36855888,2.56873850
8.91873132,1.77614392,3.37660619,2.57011447
8.93349743,1.76363749,3.38463576,2.57155934
8.94826354,1.75111950,3.39264750,2.57295929
8.96302965,1.73859067,3.40064232,2.57426040
8.97779576,1.72605184,3.40862129,2.57549319
8.99256188,1.71350320,3.41658463,2.57676945
9.00732799,1.70094402,3.42453141,2.57811880
9.02209410,1.68837409,3.43246136,2.57943750
9.03686021,1.67579405,3.44037533,2.58066312
9.05162632,1.66320470,3.44827434,2.58181534
9.06639243,1.65060632,3.45615877,2.58299709
9.08115854,1.63799828,3.46402779,2.58425388
9.09592466,1.62538026,3.47188097,2.58549391
9.11069077,1.61275282,3.47971906,2.58664679
9.12545688,1.60011672,3.48754308,2.58772280
9.14022299,1.58747231,3.49535351,2.58881466
9.15498910,1.57481905,3.50314963,2.58998155
9.16975521,1.56215658,3.51093091,2.59114504
9.18452132,1.54948532,3.51869795,2.59222745
9.19928744,1.53680602,3.52645179,2.59323070
9.21405355,1.52411908,3.53419299,2.59423665
9.22881966,1.51142409,3.54192097,2.59531591
9.24358577,1.49872058,3.54963508,2.59640446
9.25835188,1.48600891,3.55733581,2.59741820
9.27311799,1.47328979,3.56502418,2.59835130
9.28788410,1.46056367,3.57270083,2.59927461
9.30265022,1.44783023,3.58036532,2.60026800
9.31741633,1.43508897,3.58801691,2.60128256
9.33218244,1.42234015,3.59565597,2.60222899
9.34694855,1.40958444,3.60328350,2.60309386
9.36171466,1.39682234,3.61090021,2.60393712
9.37648077,1.38405362,3.61850579,2.60484712
9.39124688,1.37127774,3.62609942,2.60578999
9.40601300,1.35849487,3.63368137,2.60666982
9.42077911,1.34570568,3.64125262,2.60746295
9.43554522,1.33291070,3.64881401,2.60822610
9.45031133,1.32010987,3.65636542,2.60902365
9.46507744,1.30730288,3.66390647,2.60983829
9.47984355,1.29448975,3.67143714,2.61065021
9.49460966,1.28167050,3.67895738,2.61146314
9.50937578,1.26884517,3.68646717,2.61228144
9.52414189,1.25601377,3.69396653,2.61307113
9.53890800,1.24317661,3.70145610,2.61382258
9.55367411,1.23033367,3.70893582,2.61462544
9.56844022,1.21748433,3.71640454,2.61553539
9.58320633,1.20462794,3.72386104,2.61651118
9.59797244,1.19176443,3.73130516,2.61742956
9.61273856,1.17889442,3.73873811,2.61827022
9.62750467,1.16601803,3.74616009,2.61915739
9.64227078,1.15313464,3.75356994,2.62015741
9.65703689,1.14024355,3.76096627,2.62123913
9.67180300,1.12734457,3.76834873,2.62227398
9.68656911,1.11443832,3.77571853,2.62321934
9.70133522,1.10152503,3.78307611,2.62419746
9.71610134,1.08860412,3.79042034,2.62528999
9.73086745,1.07567486,3.79774975,2.62647627
9.74563356,1.06273698,3.80506379,2.62762992
9.76039967,1.04979105,3.81236361,2.62868545
9.77516578,1.03683739,3.81964987,2.62975793
9.78993189,1.02387549,3.82692153,2.63094571
9.80469800,1.01090461,3.83417703,2.63223863
9.81946412,0.99792438,3.84141561,2.63351510
9.83423023,0.98493529,3.84863832,2.63468631
9.84899634,0.97193778,3.85584608,2.63585691
9.86376245,0.95893141,3.86303792,2.63714364
9.87852856,0.94591541,3.87021220,2.63854736
9.89329467,0.93288932,3.87736792,2.63995269
9.90806079,0.91985356,3.88450602,2.64124705
9.92282690,0.90680866,3.89162767,2.64252128
9.93759301,0.89375426,3.89873202,2.64391178
9.95235912,0.88068957,3.90581731,2.64543178
9.96712523,0.86761405,3.91288233,2.64697349
9.98189134,0.85452802,3.91992783,2.64840051
9.99665745,0.84143210,3.92695524,2.64978596
10.01142357,0.82832602,3.93396388,2.65128610
10.02618968,0.81520898,3.94095187,2.65292889
10.04095579,0.80208035,3.94791775,2.65461548
10.05572190,0.78894036,3.95486205,2.65618716
10.07048801,0.77578970,3.96178645,2.65769456
10.08525412,0.76262818,3.96869048,2.65931114
10.10002023,0.74945501,3.97557218,2.66108193
10.11478635,0.73626951,3.98242983,2.66291962
10.12955246,0.72307179,3.98926371,2.66464692
10.14431857,0.70986258,3.99607570,2.66628713
10.15908468,0.69664180,4.00286558,2.66802684
10.17385079,0.68340868,4.00963135,2.66993083
10.18861690,0.67016250,4.01637106,2.67192524
10.20338301,0.65690326,4.02308468,2.67381806
10.21814913,0.64363168,4.02977423,2.67560095
10.23291524,0.63034781,4.03643982,2.67747038
10.24768135,0.61705091,4.04307942,2.67951470
